Ticker,Nome,Setor,GlassDoor,RA,MSCI
ABEV3,AMBEV S/A,Bebidas,Cervejaria-Ambev-Avalia%C3%A7%C3%B5es-E5797.htm,ambev,ambev-sa/IID000000002452851
B3SA3,B3,Serviços Financeiros,B3-Avalia%C3%A7%C3%B5es-E2251402.htm,b3,b3-sa-brasil-bolsa-balcao/IID000000002390061
BTOW3,B2W DIGITAL,Varejo,B2W-Digital-Avalia%C3%A7%C3%B5es-E231773.htm,b2w-digital,b2w-companhia-digital/IID000000002158642
SANB11,SANTANDER BR,Bancos,Santander-Avalia%C3%A7%C3%B5es-E828048.htm,santander,banco-santander-brasil-sa/IID000000002159006
BRKM5,BRASKEM,Quimicos,Braskem-Avalia%C3%A7%C3%B5es-E10940.htm,,braskem-sa/IID000000002141431
BRFS3,BRF SA,Alimentos,Brasil-Foods-Avalia%C3%A7%C3%B5es-E473976.htm,brf-food-services,brf-sa/IID000000002138123
CRFB3,CARREFOUR BR,Varejo,Carrefour-Avalia%C3%A7%C3%B5es-E3118.htm,carrefour-loja-fisica,carrefour-sa/IID000000002124089
CCRO3,CCR SA,Infraestrutura,Grupo-CCR-Avalia%C3%A7%C3%B5es-E1161831.htm,ccr-via-oeste,ccr-sa/IID000000002125420
ELET3,ELETROBRAS,Energia,Eletrobras-Avalia%C3%A7%C3%B5es-E7562.htm,,centrais-eletricas-brasileiras-sa/IID000000002161370
CIEL3,CIELO,Serviços Financeiros,Cielo-Avalia%C3%A7%C3%B5es-E664705.htm,cielo,cielo-sa/IID000000002402447
COGN3,COGNA ON,Educação,Kroton-Educacional-Avalia%C3%A7%C3%B5es-E745452.htm,anhanguera-uniderp-uniban,cogna-educacao-sa/IID000000002173105
SBSP3,SABESP,Saneamento,SABESP-Avalia%C3%A7%C3%B5es-E10936.htm,sabesp,companhia-de-saneamento-basico-do-estado-de-sao-paulo-sabesp/IID000000002162589
CMIG4,CEMIG,Energia,CEMIG-Avalia%C3%A7%C3%B5es-E10932.htm,cemig-mg,companhia-energetica-de-minas-gerais-cemig/IID000000002162574
CSNA3,SID NACIONAL,Metalurgia,Companhia-Siderúrgica-Nacional-Avalia%C3%A7%C3%B5es-E10928.htm,,companhia-siderurgica-nacional/IID000000002162584
CSAN3,COSAN,Quimicos,Cosan-Avalia%C3%A7%C3%B5es-E42658.htm,,cosan-sa/IID000000002133943
CPFE3,CPFL ENERGIA,Energia,CPFL-Energia-Avalia%C3%A7%C3%B5es-E37422.htm,cpfl,cpfl-energia-sa/IID000000002146188
ENGI11,ENERGISA,Energia,Energisa-Avalia%C3%A7%C3%B5es-E948281.htm,energisa,energisa-s/a/IID000000002154689
EGIE3,ENGIE BRASIL,Energia,/ENGIE-Avalia%C3%A7%C3%B5es-E1052655.htm,,engie-brasil-energia-sa/IID000000002129944
EQTL3,EQUATORIAL,Energia,quatorial-Energia-Avalia%C3%A7%C3%B5es-E2612832.htm,cemar-ma,equatorial-energia-sa/IID000000002146308
GGBR4,GERDAU,Metalurgia,Gerdau-Avalia%C3%A7%C3%B5es-E7569.htm,,gerdau-sa/IID000000002126512
HAPV3,HAPVIDA,Saude,Hapvida-Sa%C3%BAde-Avalia%C3%A7%C3%B5es-E2482759.htm,hapvida-saude,hapvida-participacoes-e-investimentos-s/a/IID000000002839664
HYPE3,HYPERA,Saude,"Trabalhar-na-Hypera-Pharma-EI_IE2482717.13,26.htm",hypera-pharma,hypera-sa/IID000000002197350
IRBR3,IRBBRASIL RE,Seguros,IRB-Brasil-RE-Avalia%C3%A7%C3%B5es-E1023839.htm,,irb-brasil-resseguros-sa/IID000000002815221
ITSA4,ITAUSA,Holding,Ita%C3%BA-Unibanco-Ita%C3%BA-BBA-e-Rede-Avalia%C3%A7%C3%B5es-E10999.htm,itau,itau-unibanco-holding-sa/IID000000002257223
ITUB4,ITAUUNIBANCO,Bancos,Ita%C3%BA-Unibanco-Ita%C3%BA-BBA-e-Rede-Avalia%C3%A7%C3%B5es-E10999.htm,itau,itausa-sa/IID000000002171506
